"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","266","Create file with empty filename","LMS service","Wed Mar 18 11:28:22 UTC 2026","passed","Wed Mar 18 11:28:22 UTC 2026","Validate entity","Files","",""
"","260","Create file with empty directory","LMS service","Wed Mar 18 11:28:23 UTC 2026","passed","Wed Mar 18 11:28:23 UTC 2026","Validate entity","Files","",""
"","24","Create course","LMS service","Wed Mar 18 11:28:17 UTC 2026","passed","Wed Mar 18 11:28:17 UTC 2026","Create entity","Courses","",""
"","535","Create user with domain: gmail.com","LMS service","Wed Mar 18 11:28:24 UTC 2026","passed","Wed Mar 18 11:28:25 UTC 2026","Create entity","Users","",""
"","22","Update exercise","LMS service","Wed Mar 18 11:28:18 UTC 2026","passed","Wed Mar 18 11:28:19 UTC 2026","Update entity"," Exercises","",""
"","24","Create file","LMS service","Wed Mar 18 11:28:21 UTC 2026","passed","Wed Mar 18 11:28:21 UTC 2026","Create entity","Files","",""
"","14","Get file","LMS service","Wed Mar 18 11:28:22 UTC 2026","passed","Wed Mar 18 11:28:22 UTC 2026","Get entity","Files","",""
"","289","Create user with domain: example.com","LMS service","Wed Mar 18 11:28:24 UTC 2026","passed","Wed Mar 18 11:28:24 UTC 2026","Create entity","Users","",""
"","535","Login with correct email and password","LMS service","Wed Mar 18 11:28:16 UTC 2026","passed","Wed Mar 18 11:28:16 UTC 2026","Login","Authentication","",""
"","29","Get courses","LMS service","Wed Mar 18 11:28:16 UTC 2026","passed","Wed Mar 18 11:28:16 UTC 2026","Get entities","Courses","",""
"","19","Get exercise","LMS service","Wed Mar 18 11:28:20 UTC 2026","passed","Wed Mar 18 11:28:20 UTC 2026","Get entity"," Exercises","",""
"","16","Get file with incorrect file id","LMS service","Wed Mar 18 11:28:24 UTC 2026","passed","Wed Mar 18 11:28:24 UTC 2026","Validate entity","Files","",""
"","26","Get exercises","LMS service","Wed Mar 18 11:28:21 UTC 2026","passed","Wed Mar 18 11:28:21 UTC 2026","Get entities"," Exercises","",""
"","548","Create user with domain: mail.ru","LMS service","Wed Mar 18 11:28:24 UTC 2026","passed","Wed Mar 18 11:28:24 UTC 2026","Create entity","Users","",""
"","24","Create exercise","LMS service","Wed Mar 18 11:28:18 UTC 2026","passed","Wed Mar 18 11:28:18 UTC 2026","Create entity"," Exercises","",""
"","32","Update courses","LMS service","Wed Mar 18 11:28:17 UTC 2026","passed","Wed Mar 18 11:28:17 UTC 2026","Update entity","Courses","",""
"","11","Get user me","LMS service","Wed Mar 18 11:28:25 UTC 2026","passed","Wed Mar 18 11:28:25 UTC 2026","Get entity","Users","",""
"","20","Delete exercise","LMS service","Wed Mar 18 11:28:20 UTC 2026","passed","Wed Mar 18 11:28:20 UTC 2026","Delete entity"," Exercises","",""
"","293","Delete file","LMS service","Wed Mar 18 11:28:23 UTC 2026","passed","Wed Mar 18 11:28:24 UTC 2026","Delete entity","Files","",""
